verbe,temps,1ps,2ps,3ps,1pp,2pp,3pp
obtenir,Futur simple,obtiendrai,obtiendras,obtiendra,obtiendrons,obtiendrez,obtiendront
obvenir,Présent,obviens,obviens,obvient,obvenons,obvenez,obviennent
obvenir,Passé composé,ai obvenu,as obvenu,a obvenu,avons obvenu,avez obvenu,ont obvenu
obvenir,Imparfait,obvenais,obvenais,obvenait,obvenions,obveniez,obvenaient
obvenir,Futur simple,obviendrai,obviendras,obviendra,obviendrons,obviendrez,obviendront
occlure,Présent,occlus,occlus,occlut,occluons,occluez,occluent
occlure,Passé composé,ai occlus,as occlus,a occlus,avons occlus,avez occlus,ont occlus
occlure,Imparfait,occluais,occluais,occluait,occluions,occluiez,occluaient
occlure,Futur simple,occlurai,occluras,occlura,occlurons,occlurez,occluront
offrir,Présent,offre,offres,offre,offrons,offrez,offrent
offrir,Passé composé,ai offert,as offert,a offert,avons offert,avez offert,ont offert
offrir,Imparfait,offrais,offrais,offrait,offrions,offriez,offraient
offrir,Futur simple,offrirai,offriras,offrira,offrirons,offrirez,offriront
omettre,Présent,omets,omets,omet,omettons,omettez,omettent
omettre,Passé composé,ai omis,as omis,a omis,avons omis,avez omis,ont omis
omettre,Imparfait,omettais,omettais,omettait,omettions,omettiez,omettaient
omettre,Futur simple,omettrai,omettras,omettra,omettrons,omettrez,omettront
ouïr,Présent,ois,ois,oit,oyons,oyez,oient
ouïr,Passé composé,ai ouï,as ouï,a ouï,avons ouï,avez ouï,ont ouï
ouïr,Imparfait,oyais,oyais,oyait,oyions,oyiez,oyaient
ouïr,Futur simple,ouïrai,ouïras,ouïra,ouïrons,ouïrez,ouïront
ouvrir,Présent,ouvre,ouvres,ouvre,ouvrons,ouvrez,ouvrent
ouvrir,Passé composé,ai ouvert,as ouvert,a ouvert,avons ouvert,avez ouvert,ont ouvert
ouvrir,Imparfait,ouvrais,ouvrais,ouvrait,ouvrions,ouvriez,ouvraient
ouvrir,Futur simple,ouvrirai,ouvriras,ouvrira,ouvrirons,ouvrirez,ouvriront
paraître,Présent,parais,parais,paraît,paraissons,paraissez,paraissent
paraître,Passé composé,ai paru,as paru,a paru,avons paru,avez paru,ont paru
paraître,Imparfait,paraissais,paraissais,paraissait,paraissions,paraissiez,paraissaient
paraître,Futur simple,paraîtrai,paraîtras,paraîtra,paraîtrons,paraîtrez,paraîtront
parcourir,Présent,parcours,parcours,parcourt,parcourons,parcourez,parcourent
parcourir,Passé composé,ai parcouru,as parcouru,a parcouru,avons parcour,avez parcouru,ont parcouru
parcourir,Imparfait,parcourais,parcourais,parcourait,parcourions,parcouriez,parcouraient
parcourir,Futur simple,parcourrai,parcourras,parcourra,parcourrons,parcourrez,parcourront
parfondre,Présent,parfonds,parfonds,parfond,parfondons,parfondez,parfondent
parfondre,Passé composé,ai parfondu,as parfondu,a parfondu,avons parfondu,avez parfondu,ont parfondu
parfondre,Imparfait,parfondais,parfondais,parfondait,parfondions,parfondiez,parfondaient
parfondre,Futur simple,parfondrai,parfondras,parfondra,parfondrons,parfondrez,parfondront
partir,Présent,pars,pars,part,partons,partez,partent
partir,Passé composé,suis parti,es parti,est parti,sommes partis,êtes partis,sont partis
partir,Imparfait,partais,partais,partait,partions,partiez,partaient
partir,Futur simple,partirai,partiras,partira,partirons,partirez,partiront
parvenir,Présent,parviens,parviens,parvient,parvenons,parvenez,parviennent
parvenir,Passé composé,suis parvenu,es parvenu,est parvenu,sommes parvenus,êtes parvenus,sont parvenus
parvenir,Imparfait,parvenais,parvenais,parvenait,parvenions,parveniez,parvenaient
parvenir,Futur simple,parviendrai,parviendras,parviendra,parviendrons,parviendrez,parviendront
peindre,Présent,peins,peins,peint,peignons,peignez,peignent
peindre,Passé composé,ai peint,as peint,a peint,avons peint,avez peint,ont peint
peindre,Imparfait,peignais,peignais,peignait,peignions,peigniez,peignaient
peindre,Futur simple,peindrai,peindras,peindra,peindrons,peindrez,peindront
pendre,Présent,pends,pends,pend,pendons,pendez,pendent
pendre,Passé composé,ai pendu,as pendu,a pendu,avons pendu,avez pendu,ont pendu
pendre,Imparfait,pendais,pendais,pendait,pendions,pendiez,pendaient
pendre,Futur simple,pendrai,pendras,pendra,pendrons,pendrez,pendront
percevoir,Présent,perçois,perçois,perçoit,percevons,percevez,perçoivent
percevoir,Passé composé,ai perçu,as perçu,a perçu,avons perçu,avez perçu,ont perçu
percevoir,Imparfait,percevais,percevais,percevait,percevions,perceviez,percevaient
percevoir,Futur simple,percevrai,percevras,percevra,percevrons,percevrez,percevront
perdre,Présent,perds,perds,perd,perdons,perdez,perdent
perdre,Passé composé,ai perdu,as perdu,a perdu,avons perdu,avez perdu,ont perdu
perdre,Imparfait,perdais,perdais,perdait,perdions,perdiez,perdaient
perdre,Futur simple,perdrai,perdras,perdra,perdrons,perdrez,perdront
permettre,Présent,permets,permets,permet,permettons,permettez,permettent
permettre,Passé composé,ai permis,as permis,a permis,avons permis,avez permis,ont permis
permettre,Imparfait,permettais,permettais,permettait,permettions,permettiez,permettaient
permettre,Futur simple,permettrai,permettras,permettra,permettrons,permettrez,permettront
plaindre,Présent,plains,plains,plaint,plaignons,plaignez,plaignent
plaindre,Passé composé,ai plaint,as plaint,a plaint,avons plaint,avez plaint,ont plaint
plaindre,Imparfait,plaignais,plaignais,plaignait,plaignions,plaigniez,plaignaient
plaindre,Futur simple,plaindrai,plaindras,plaindra,plaindrons,plaindrez,plaindront
plaire,Présent,plais,plais,plaît,plaisons,plaisez,plaisent
plaire,Passé composé,ai plu,as plu,a plu,avons plu,avez plu,ont plu
plaire,Imparfait,plaisais,plaisais,plaisait,plaisions,plaisiez,plaisaient
plaire,Futur simple,plairai,plairas,plaira,plairons,plairez,plairont
pondre,Présent,ponds,ponds,pond,pondons,pondez,pondent
pondre,Passé composé,ai pondu,as pondu,a pondu,avons pondu,avez pondu,ont pondu
pondre,Imparfait,pondais,pondais,pondait,pondions,pondiez,pondaient
pondre,Futur simple,pondrai,pondras,pondra,pondrons,pondrez,pondront
pourfendre,Présent,pourfends,pourfends,pourfend,pourfendont,pourfendez,pourfendent
pourfendre,Passé composé,ai pourfendu,as pourfendu,a pourfendu,avons pourfendu,avez pourfendu,ont pourfendu
pourfendre,Imparfait,pourfendais,pourfendais,pourfendait,pourfendions,pourfendiez,pourfendaient
pourfendre,Futur simple,pourfendrai,pourfendras,pourfendra,pourfendrons,pourfendrez,pourfendront
poursuivre,Présent,poursuis,poursuis,poursuit,poursuivons,poursuivez,poursuivent
poursuivre,Passé composé,ai poursuivi,as poursuivi,a poursuivi,avons poursuivi,avez poursuivi,ont poursuivi
poursuivre,Imparfait,poursuivais,poursuivais,poursuivait,poursuivions,poursuiviez,poursuivaient
poursuivre,Futur simple,poursuivrai,poursuivras,poursuivra,poursuivrons,poursuivrez,poursuivront
pourvoir,Présent,pourvois,pourvois,pourvoit,pourvoyons,pourvoyez,pourvoient
pourvoir,Passé composé,ai pourvu,as pourvu,a pourvu,avons pourvu,avez pourvu,ont pourvu
pourvoir,Imparfait,pourvoyais,pourvoyais,pourvoyait,pourvoyions,pourvoyiez,pourvoyaient
pourvoir,Futur simple,pourvoirai,pourvoiras,pourvoira,pourvoirons,pourvoirez,pourvoiront
pouvoir,Présent,peux,peux,peut,pouvons,pouvez,peuvent
pouvoir,Passé composé,ai pu,as pu,a pu,avons pu,avez pu,ont pu
pouvoir,Imparfait,pouvais,pouvais,pouvait,pouvions,pouviez,pouvaient
pouvoir,Futur simple,pourrai,pourras,pourra,pourrons,pourrez,pourront
prédire,Présent,prédis,prédis,prédit,prédisons,prédisez,prédisent
prédire,Passé composé,ai prédit,as prédit,a prédit,avons prédit,avez prédit,ont prédit
prédire,Imparfait,prédisais,prédisais,prédisait,prédisions,prédisiez,prédisaient
prédire,Futur simple,prédirai,prédiras,prédira,prédirons,prédirez,prédiront
prendre,Présent,prends,prends,prend,prenons,prenez,prennent
prendre,Passé composé,ai pris,as pris,a pris,avons pris,avez pris,ont pris
prendre,Imparfait,prenais,prenais,prenait,prenions,preniez,prenaient
prendre,Futur simple,prendrai,prendras,prendra,prendrons,prendrez,prendront
prescrire,Présent,prescris,prescris,prescrit,prescrivons,prescrivez,prescrivent
prescrire,Passé composé,ai prescrit,as prescrit,a prescrit,avons prescrit,avez prescrit,ont prescrit
prescrire,Imparfait,prescrivais,prescrivais,prescrivait,prescrivions,prescriviez,prescrivaient
prescrire,Futur simple,prescrirai,prescriras,prescrira,prescrirons,prescrirez,prescriront
pressentir,Présent,pressens,pressens,pressent,pressentons,pressentez,pressentent
pressentir,Passé composé,ai pressenti,as pressenti,a pressenti,avons pressenti,avez pressenti,ont pressenti
pressentir,Imparfait,pressentais,pressentais,pressentait,pressentions,pressentiez,pressentaient
pressentir,Futur simple,pressentirai,pressentiras,pressentira,pressentirons,pressentirez,pressentiront
prétendre,Présent,prétends,prétends,prétend,prétendons,prétendez,prétendent
prétendre,Passé composé,ai prétendu,as prétendu,a prétendu,avons prétendu,avez prétendu,ont prétendu
prétendre,Imparfait,prétendais,prétendais,prétendait,prétendions,prétendiez,prétendaient
prétendre,Futur simple,prétendrai,prétendras,prétendra,prétendrons,prétendrez,prétendront
prévaloir,Présent,prévaux,prévaux,prévaut,prévalons,prévalez,prévalent
prévaloir,Passé composé,ai prévalu,as prévalu,a prévalu,avons prévalu,avez prévalu,ont prévalu
prévaloir,Imparfait,prévalais,prévalais,prévalait,prévalions,prévaliez,prévalaient
prévaloir,Futur simple,prévaudrai,prévaudras,prévaudra,prévaudrons,prévaudrez,prévaudront
prevenir,Présent,préviens,préviens,prévient,prévenons,prévenez,préviennent
prevenir,Passé composé,ai prévenu,as prévenu,a prévenu,avons prévenu,avez prévenu,ont prévenu
prevenir,Imparfait,prévenais,prévenais,prévenait,prévenions,préveniez,prévenaient
prevenir,Futur simple,préviendrai,préviendras,préviendra,préviendrons,préviendrez,préviendront
prevoir,Présent,prévois,prévois,prévoit,prévoyons,prévoyez,prévoient
prevoir,Passé composé,ai prévu,as prévu,a prévu,avons prévu,avez prévu,ont prévu
prevoir,Imparfait,prévoyais,prévoyais,prévoyait,prévoyions,prévoyiez,prévoyaient
prevoir,Futur simple,prévoirai,prévoiras,prévoira,prévoirons,prévoirez,prévoiront
produire,Présent,produis,produis,produit,produisons,produisez,produisent
produire,Passé composé,ai produit,as produit,a produit,avons produit,avez produit,ont produit
produire,Imparfait,produisais,produisais,produisait,produisions,produisiez,produisaient
produire,Futur simple,produirai,produiras,produira,produirons,produirez,produiront
promettre,Présent,promets,promets,promet,promettons,promettez,promettent
promettre,Passé composé,ai promis,as promis,a promis,avons promis,avez promis,ont promis
promettre,Imparfait,promettais,promettais,promettait,promettions,promettiez,promettaient
promettre,Futur simple,promettrai,promettras,promettra,promettrons,promettrez,promettront
promouvoir,Présent,promeus,promeus,promeut,promouvons,promouvez,promeuvent
promouvoir,Passé composé,ai promu,as promu,a promu,avons promu,avez promu,ont promu
promouvoir,Imparfait,promouvais,promouvais,promouvait,promouvions,promouviez,promouvaient
promouvoir,Futur simple,promouvrai,promouvras,promouvra,promouvrons,promouvrez,promouvront
proscrire,Présent,proscris,proscris,proscrit,proscrivons,proscrivez,proscrivent
proscrire,Passé composé,ai proscrit,as proscrit,a proscrit,avons proscrit,avez proscrit,ont proscrit
proscrire,Imparfait,proscrivais,proscrivais,proscrivait,proscrivions,proscriviez,proscrivaient
proscrire,Futur simple,proscrirai,proscriras,proscrira,proscrirons,proscrirez,proscriront
provenir,Présent,proviens,proviens,provient,provenons,provenez,proviennent
provenir,Passé composé,suis provenu,es provenu,est provenu,sommes provenu,êtes provenu,sont provenu
provenir,Imparfait,provenais,provenais,provenait,provenions,proveniez,provenaient
provenir,Futur simple,proviendrai,proviendras,proviendra,proviendrons,proviendrez,proviendront
rabattre,Présent,rabats,rabats,rabat,rabattons,rabattez,rabattent
rabattre,Passé composé,ai rabattu,as rabattu,a rabattu,avons rabattu,avez rabattu,ont rabattu
rabattre,Imparfait,rabattais,rabattais,rabattait,rabattions,rabattiez,rabattaient
rabattre,Futur simple,rabattrai,rabattras,rabattra,rabattrons,rabattrez,rabattront
rapprendre,Présent,rapprends,rapprends,rapprend,rapprenons,rapprenez,rapprennent
rapprendre,Passé composé,ai rappris,as rappris,a rappris,avons rappris,avez rappris,ont rappris
rapprendre,Imparfait,rapprenais,rapprenais,rapprenait,rapprenions,rappreniez,rapprenaient
rapprendre,Futur simple,rapprendrai,rapprendras,rapprendra,rapprendrons,rapprendrez,rapprendront
rasseoir,Présent,rassois,rassois,rassoit,rassoyons,rassoyez,rassoient
rasseoir,Passé composé,ai rassis,as rassis,a rassis,avons rassis,avez rassis,ont rassis
rasseoir,Imparfait,rassoyais,rassoyais,rassoyait,rassoyions,rassoyiez,rassoyaient
rasseoir,Futur simple,rassoirai,rassoiras,rassoira,rassoirons,rassoirez,rassoiront
réadmettre,Présent,réadmets,réadmets,réadmet,réadmettons,réadmettez,réadmettent
réadmettre,Passé composé,airéadmettez,as réadmettez,a réadmettez,avons réadmettez,avez réadmettez,ont réadmettez
réadmettre,Imparfait,réadmettais,réadmettais,réadmettait,réadmettions,réadmettiez,réadmettaient
réadmettre,Futur simple,réadmettrai,réadmettras,réadmettra,réadmettrons,réadmettrez,réadmettront
réapparaître,Présent,réapparais,réapparais,réapparait,réapparaissons,réapparaissez,réapparaissent
réapparaître,Passé composé,ai réapparu,as réapparu,a réapparu,avons réapparu,avez réapparu,ont réapparu
réapparaître,Imparfait,réapparaissais,réapparaissais,réapparaissait,réapparaissions,réapparaissiez,réapparaissaient
réapparaître,Futur simple,réapparaîtrai,réapparaîtras,réapparaîtra,réapparaîtrons,réapparaîtrez,réapparaîtront
réapprendre,Présent,réapprends,réapprends,réapprend,réapprenons,réapprenez,réapprennent
réapprendre,Passé composé,ai réappris,as réappris,a réappris,avons réappris,avez réappris,ont réappris
réapprendre,Imparfait,réapprenais,réapprenais,réapprenait,réapprenions,réappreniez,réapprenaient
réapprendre,Futur simple,réapprendrai,réapprendras,réapprendra,réapprendrons,réapprendrez,réapprendront
rebattre,Présent,rebats,rebats,rebat,rebattons,rebattez,rebattent
rebattre,Passé composé,ai rebattons,as rebattons,a rebattons,avons rebattons,avez rebattons,ont rebattons
rebattre,Imparfait,rebattais,rebattais,rebattait,rebattions,rebattiez,rebattaient
rebattre,Futur simple,rebattrai,rebattras,rebattra,rebattrons,rebattrez,rebattront
reboire,Présent,rebois,rebois,reboit,rebuvons,rebuviez,reboivent
reboire,Passé composé,ai rebu,as rebu,a rebu,avons rebu,avez rebu,ont rebu
reboire,Imparfait,rebuvais,rebuvais,rebuvait,rebuvions,rebuviez,rebuvaient
reboire,Futur simple,reboirai,reboiras,reboira,reboirons,reboirez,reboiront
recevoir,Présent,reçois,reçois,reçoit,recevons,recevez,reçoivent
recevoir,Passé composé,ai reçu,as reçu,a reçu,avons reçu,avez reçu,ont reçu
recevoir,Imparfait,recevais,recevais,recevait,recevions,receviez,recevaient
recevoir,Futur simple,recevrai,recevras,recevra,recevrons,recevrez,recevront
recomparraître,Présent,recomparais,recomparais,recomparaît,recomparaissons,recomparaissez,recomparaissent
recomparraître,Passé composé,ai recomparu,as recomparu,a recomparu,avons recomparu,avez recomparu,ont recomparu
recomparraître,Imparfait,recomparaissais,recomparaissais,recomparaissait,recomparaissions,recomparaissiez,recomparaissaient
recomparraître,Futur simple,recomparaîtrai,recomparaîtras,recomparaîtra,recomparaîtrons,recomparaîtez,recomparaîtront
reconduire,Présent,reconduis,reconduis,reconduit,reconduisons,reconduisez,reconduisent
reconduire,Passé composé,ai reconduit,as reconduit,a reconduit,avons reconduit,avez reconduit,ont reconduit
reconduire,Imparfait,reconduisais,reconduisais,reconduisait,reconduisions,reconduisiez,reconduisaient
reconduire,Futur simple,reconduirai,reconduiras,reconduira,reconduirons,reconduirez,reconduiront
reconnaître,Présent,reconnais,reconnais,reconnaît,reconnaissons,reconnaissez,reconnaissent
reconnaître,Passé composé,ai reconnu,as reconnu,a reconnu,avons reconnu,avez reconnu,ont reconnu
reconnaître,Imparfait,reconnaissais,reconnaissais,reconnaissait,reconnaissions,reconnaissiez,reconnaissaient
reconnaître,Futur simple,reconnaîtrai,reconnaîtras,reconnaîtra,reconnaîtrons,reconnaîtrez,reconnaîtront
reconquérir,Présent,reconquiers,reconquiers,reconquiert,reconquérons,reconquérez,reconquièrent
reconquérir,Passé composé,ai reconquis,as reconquis,a reconquis,avons reconquis,avez reconquis,ont reconquis
reconquérir,Imparfait,reconquérais,reconquérais,reconquérait,reconquérions,reconquériez,reconquéraient
reconquérir,Futur simple,reconquerrai,reconquerras,reconquerra,reconquerrons,reconquerrez,reconquerront
reconstruire,Présent,reconstruis,reconstruis,reconstruit,reconstruisons,reconstruisez,reconstruisent
reconstruire,Passé composé,ai reconstruit,as reconstruit,a reconstruit,avons reconstruit,avez reconstruit,ont reconstruit
reconstruire,Imparfait,reconstruisais,reconstruisais,reconstruisait,reconstruisions,reconstruisiez,reconstruisaient
reconstruire,Futur simple,reconstruirai,reconstruiras,reconstruira,reconstruirons,reconstruirez,reconstruiront
recoudre,Présent,recouds,recouds,recoud,recousons,recousez,recousent
recoudre,Passé composé,ai recousu,as recousu,a recousu,avons recousu,avez recousu,ont recousu
recoudre,Imparfait,recousais,recousais,recousait,recousions,recousiez,recousaient
recoudre,Futur simple,recoudrai,recoudras,recoudra,recoudrons,recoudrez,recoudront
recourir,Présent,recours,recours,recour,recourons,recourez,recourent
recourir,Passé composé,ai recouru,as recouru,a recouru,avons recouru,avez recouru,ont recouru
recourir,Imparfait,recourais,recourais,recourait,recouriez,recourions,recouraient
recourir,Futur simple,recourrai,recourras,recourra,recourrons,recourrez,recourront
recouvrir,Présent,recouvre,recouvres,recouvre,recouvrons,recouvrez,recouvrent
recouvrir,Passé composé,ai recouvert,as recouvert,a recouvert,avons recouvert,avez recouvert,ont recouvert
recouvrir,Imparfait,recouvrais,recouvrais,recouvrait,recouvrions,recouvriez,recouvraient
recouvrir,Futur simple,recouvrirai,recouvriras,recouvrira,recouvrirons,recouvrirez,recouvriront
récrire,Présent,récris,récris,récrit,récrivons,récrivez,récrivent
récrire,Passé composé,ai récrit,as récrit,a récrit,avons récrit,avez récrit,ont récrit
récrire,Imparfait,récrivais,récrivais,récrivait,récrivions,récriviez,récrivaient
récrire,Futur simple,récrirai,récriras,récrira,récrirons,récrirez,récriront
réélire,Présent,réélis,réélis,réélit,réélisons,réélisez,réélisent
réélire,Passé composé,ai réélu,as réélu,a réélu,avons réélu,avez réélu,ont réélu
réélire,Imparfait,réélisais,réélisais,réélisait,réélisions,réélisiez,réélisaient
réélire,Futur simple,réélirai,rééliras,réélira,réélirons,réélirez,rééliront
réentendre,Présent,réentends,réentends,réentend,réentendons,réentendez,réentendent
réentendre,Passé composé,ai réentendu,as réentendu,a réentendu,avons réentendu,avez réentendu,ont réentendu
réentendre,Imparfait,réentendais,réentendais,réentendait,réentendions,réentendiez,réentendaient
réentendre,Futur simple,réentendrai,réentendras,réentendra,réentendrons,réentendrez,réentendront
refaire,Présent,refais,refais,refait,refaisons,refaites,refont
refaire,Passé composé,ai refait,as refait,a refait,avons refait,avez refait,ont refait
refaire,Imparfait,refaisais,refaisais,refaisait,refaisions,refaisiez,refaisaient
refaire,Futur simple,referai,referas,refera,referons,referez,referont
refendre,Présent,refends,refends,refend,refendons,refendez,refendent
refendre,Passé composé,ai refendu,as refendu,a refendu,avons refendu,avez refendu,ont refendu
refendre,Imparfait,refendais,refendais,refendait,refendions,refendiez,refendaient
refendre,Futur simple,refendrai,refendras,refendra,refendrons,refendrez,refendront
refondre,Présent,refonds,refonds,refond,refondons,refondez,refondent
refondre,Passé composé,ai refondu,as refondu,a refondu,avons refondu,avez refondu,ont refondu
refondre,Imparfait,refondais,refondais,refondait,refondions,refondiez,refondaient
refondre,Futur simple,refondrai,refondras,refondra,refondrons,refondrez,refondront
réinscrire,Présent,réinscris,réinscris,réinscrit,réinscrivons,réinscrivez,réinscrivent
réinscrire,Passé composé,ai réinscrit,as réinscrit,a réinscrit,avons réinscrit,avez réinscrit,ont réinscrit
réinscrire,Imparfait,réinscrivais,réinscrivais,réinscrivait,réinscrivions,réinscriviez,réinscrivaient
réinscrire,Futur simple,réinscrirai,réinscriras,réinscrira,réinscrirons,réinscrirez,réinscriront
réintroduire,Présent,réintroduis,réintroduis,réintroduit,réintroduisons,réintroduisez,réintroduisent
réintroduire,Passé composé,ai réintroduit,as réintroduit,a réintroduit,avons réintroduit,avez réintroduit,ont réintroduit
réintroduire,Imparfait,réintroduisais,réintroduisais,réintroduisait,réintroduisions,réintroduisiez,réintroduisaient
réintroduire,Futur simple,réintroduirai,réintroduiras,réintroduira,réintroduirons,réintroduirez,réintroduiront
rejoindre,Présent,rejoins,rejoins,rejoint,rejoignons,rejoignez,rejoignent
rejoindre,Passé composé,ai rejoint,as rejoint,a rejoint,avons rejoint,avez rejoint,ont rejoint
rejoindre,Imparfait,rejoignais,rejoignais,rejoignait,rejoignions,rejoigniez,rejoignaient
rejoindre,Futur simple,rejoindrai,rejoindras,rejoindra,rejoindrons,rejoindrez,rejoindront
relire,Présent,relis,relis,relit,relisons,relisez,relisent
relire,Passé composé,ai relu,as relu,a relu,avons relu,avez relu,ont relu
relire,Imparfait,relisais,relisais,relisait,relisions,relisiez,relisaient
relire,Futur simple,relirai,reliras,relira,relirons,relirez,reliront
reluire,Présent,reluis,reluis,reluit,reluisons,reluisez,reluisent
reluire,Passé composé,ai relui,as relui,a relui,avons relui,avez relui,ont relui
reluire,Imparfait,reluisais,reluisais,reluisait,reluisions,reluisiez,reluisaient
reluire,Futur simple,reluirai,reluiras,reluira,reluirons,reluirez,reluiront
remettre,Présent,remets,remets,remet,remettons,remettez,remettent
remettre,Passé composé,ai remis,as remis,a remis,avons remis,avez remis,ont remis
remettre,Imparfait,remettais,remettais,remettait,remettions,remettiez,remettaient
remettre,Futur simple,remettrai,remettras,remettra,remettrons,remettrez,remettront
remordre,Présent,remords,remords,remord,remordons,remordez,remordent
remordre,Passé composé,ai remordu,as remordu,a remordu,avons remordu,avez remordu,ont remordu
remordre,Imparfait,remordais,remordais,remordait,remordions,remordiez,remordaient
remordre,Futur simple,remordrai,remordras,remordra,remordrons,remordrez,remordront
remoudre,Présent,remouds,remouds,remoud,remoulons,remoulez,remoulent
remoudre,Passé composé,ai remoulu,as remoulu,a remoulu,avons remoulu,avez remoulu,ont remoulu
remoudre,Imparfait,remoulais,remoulais,remoulait,remoulions,remouliez,remoulaient
remoudre,Futur simple,remoudrai,remoudras,remoudra,remoudrons,remoudrez,remoudront
renaître,Présent,renais,renais,renaît,renaissons,renaissez,renaissent
renaître,Passé composé,suis rené,es rené,est rené,sommes rené,êtes rené,sont rené
renaître,Imparfait,renaissais,renaissais,renaissait,renaissions,renaissiez,renaissaient
renaître,Futur simple,renaîtrai,renaîtras,renaîtra,renaîtrons,renaîtrez,renaîtront
rendormir,Présent,rendors,rendors,rendor,rendormons,rendormez,rendorment
rendormir,Passé composé,ai rendormi,as rendormi,a rendormi,avons rendormi,avez rendormi,ont rendormi
rendormir,Imparfait,rendormais,rendormais,rendormait,rendormions,rendormiez,rendormaient
rendormir,Futur simple,rendormirai,rendormiras,rendormira,rendormirons,rendormirez,rendormiront
rendre,Présent,rends,rends,rend,rendons,rendez,rendent
rendre,Passé composé,ai rendu,as rendu,a rendu,avons rendu,avez rendu,ont rendu
rendre,Imparfait,rendais,rendais,rendait,rendions,rendiez,rendaient
rendre,Futur simple,rendrai,rendras,rendra,rendrons,rendrez,rendront
rentraire,Présent,rentrais,rentrais,rentrait,rentrayons,rentrayez,rentraient
rentraire,Passé composé,ai rentrait,as rentrait,a rentrait,avons rentrait,avez rentrait,ont rentrait
rentraire,Imparfait,rentrayais,rentrayais,rentrayait,rentrayions,rentrayiez,rentrayaient
rentraire,Futur simple,rentrairai,rentrairas,rentraira,rentrairons,rentrairez,rentrairont
rentrouvrir,Présent,rentrouvre,rentrouvres,rentrouvre,rentrouvrons,rentrouvrez,rentrouvrent
rentrouvrir,Passé composé,ai rentrouvert,as rentrouvert,a rentrouvert,avons rentrouvert,avez rentrouvert,ont rentrouvert
rentrouvrir,Imparfait,rentrouvrais,rentrouvrais,rentrouvrait,rentrouvrions,rentrouvriez,rentrouvraient
rentrouvrir,Futur simple,rentrouvrirai,rentrouvriras,rentrouvrira,rentrouvrirons,rentrouvrirez,rentrouvriront
repaître,Présent,repais,repais,repaît,repaissons,repaissez,repaissent
repaître,Passé composé,ai repu,as repu,a repu,avons repu,avez repu,ont repu
repaître,Imparfait,repaissais,repaissais,repaissait,repaissions,repaissiez,repaissaient
repaître,Futur simple,repaîtrai,repaîtras,repaîtra,repaîtrons,repaîtrez,repaîtront
répandre,Présent,répands,répands,répand,répandons,répandez,répandent
répandre,Passé composé,ai répandu,as répandu,a répandu,avons répandu,avez répandu,ont répandu
répandre,Imparfait,répandais,répandais,répandait,répandions,répandiez,répandaient
répandre,Futur simple,répandrai,répandras,répandra,répandrons,répandrez,répandront
reparaître,Présent,reparais,reparais,reparaît,reparaissons,reparaissez,reparaissent
reparaître,Passé composé,suis reparu,es reparu,est reparu,sommes reparu,êtes reparu,sont reparu
reparaître,Imparfait,reparaissais,reparaissais,reparaissait,reparaissions,reparaissiez,reparaissaient
reparaître,Futur simple,reparaîtrai,reparaîtras,reparaîtra,reparaîtrons,reparaîtrez,reparaîtront
repartir,Présent,repars,repars,repart,repartons,repartez,repartent
repartir,Passé composé,suis reparti,es reparti,est reparti,sommes reparti,êtes reparti,sont reparti
repartir,Imparfait,repartais,repartais,repartait,repartions,repartiez,repartaient
repartir,Futur simple,repartirai,repartiras,repartira,repartirons,repartirez,repartiront
repeindre,Présent,repeins,repeins,repeint,repeignons,repeignez,repeignent
repeindre,Passé composé,ai repeint,as repeint,a repeint,avons repeint,avez repeint,ont repeint
repeindre,Imparfait,repeignais,repeignais,repeignait,repeignions,repeigniez,repeignaient
repeindre,Futur simple,repeindrai,repeindras,repeindra,repeindrons,repeindrez,repeindront
rependre,Présent,repends,repends,repend,rependons,rependez,rependent
rependre,Passé composé,ai rependu,as rependu,a rependu,avons rependu,avez rependu,ont rependu
rependre,Imparfait,rependais,rependais,rependait,rependions,rependiez,rependaient
rependre,Futur simple,rependrai,rependras,rependra,rependrons,rependrez,rependront
reperdre,Présent,reperds,reperds,reperd,reperdons,reperdez,reperdent
reperdre,Passé composé,ai reperdu,as reperdu,a reperdu,avons reperdu,avez reperdu,ont reperdu
reperdre,Imparfait,reperdais,reperdais,reperdait,reperdions,reperdiez,reperdaient
reperdre,Futur simple,reperdrai,reperdras,reperdra,reperdrons,reperdrez,reperdront
répondre,Présent,réponds,réponds,répond,répondons,répondez,répondent
répondre,Passé composé,ai répondu,as répondu,a répondu,avons répondu,avez répondu,ont répondu
répondre,Imparfait,répondais,répondais,répondait,répondions,répondiez,répondaient
répondre,Futur simple,répondrai,répondras,répondra,répondrons,répondrez,répondront
repouvoir,Présent,repourvois,repourvois,repourvoit,repourvoyons,repourvoyez,repourvoient
repouvoir,Passé composé,ai repourvu,as repourvu,a repourvu,avons repourvu,avez repourvu,ont repourvu
repouvoir,Imparfait,repourvoyais,repourvoyais,repourvoyait,repourvoyions,repourvoyiez,repourvoyaient
repouvoir,Futur simple,repourvoirai,repourvoiras,repourvoira,repourvoirons,repourvoirez,repourvoiront
reprendre,Présent,reprends,reprends,reprend,reprenons,reprenez,reprennent
reprendre,Passé composé,ai repris,as repris,a repris,avons repris,avez repris,ont repris
reprendre,Imparfait,reprenais,reprenais,reprenait,reprenions,repreniez,reprenaient
reprendre,Futur simple,reprendrai,reprendras,reprendra,reprendrons,reprendrez,reprendront
